strain,condition,dose_µM,trait,phenotype,Broad_sense_heritability
DL238,Amsacrine,25,q75.TOF,-74.0681818181818,0.191585438255204
DL238,Amsacrine,50,q75.TOF,-74.0681818181818,0.465490738283857
DL238,Amsacrine,100,q75.TOF,-122.068181818182,0.539685279872395
CB4856,Amsacrine,0,q75.TOF,45.6041666666667,1.52089533533071e-32
CB4856,Amsacrine,12,q75.TOF,14.6041666666667,0.275278928843269
CB4856,Amsacrine,25,q75.TOF,-8.39583333333331,0.191585438255204
CB4856,Amsacrine,50,q75.TOF,-54.3958333333333,0.465490738283857
CB4856,Amsacrine,100,q75.TOF,-174.395833333333,0.539685279872395
JU258,Amsacrine,0,q75.TOF,16.0625,1.52089533533071e-32
JU258,Amsacrine,12,q75.TOF,-30.9375,0.275278928843269
JU258,Amsacrine,25,q75.TOF,-118.4375,0.191585438255204
JU258,Amsacrine,100,q75.TOF,-224.9375,0.539685279872395
N2,Amsacrine,0,q75.TOF,99.1590909090909,1.52089533533071e-32
N2,Amsacrine,12,q75.TOF,52.1590909090909,0.275278928843269
N2,Amsacrine,25,q75.TOF,-43.5909090909091,0.191585438255204
N2,Amsacrine,50,q75.TOF,-85.3409090909091,0.465490738283857
N2,Amsacrine,100,q75.TOF,-173.840909090909,0.539685279872395
JU258,Amsacrine,0,q75.TOF,67.3125,1.52089533533071e-32
JU258,Amsacrine,12,q75.TOF,-64.4375,0.275278928843269
JU258,Amsacrine,25,q75.TOF,-56.1875,0.191585438255204
JU258,Amsacrine,50,q75.TOF,-173.9375,0.465490738283857
JU258,Amsacrine,100,q75.TOF,-201.9375,0.539685279872395
DL238,Amsacrine,0,q75.TOF,31.9318181818182,1.52089533533071e-32
DL238,Amsacrine,12,q75.TOF,-39.5681818181818,0.275278928843269
DL238,Amsacrine,25,q75.TOF,-58.0681818181818,0.191585438255204
DL238,Amsacrine,50,q75.TOF,-75.0681818181818,0.465490738283857
DL238,Amsacrine,100,q75.TOF,-75.0681818181818,0.539685279872395
N2,Amsacrine,0,q75.TOF,103.159090909091,1.52089533533071e-32
N2,Amsacrine,12,q75.TOF,28.1590909090909,0.275278928843269
N2,Amsacrine,25,q75.TOF,-58.8409090909091,0.191585438255204
